"No.","Time","Source","Destination","Protocol","Info","Length"
"1","0.000000","172.64.41.5","192.168.6.68","UDP","443  >  49748 Len=23","65"
"2","0.000000","172.64.41.5","192.168.6.68","UDP","443  >  49748 Len=585","627"
"3","0.000000","172.64.41.5","192.168.6.68","UDP","443  >  49748 Len=585","627"
"4","0.003132","104.18.32.47","192.168.6.68","TCP","443  >  52320 [ACK] Seq=1 Ack=1 Win=76 Len=0","54"
"5","0.004513","104.18.32.47","192.168.6.68","TCP","443  >  52320 [ACK] Seq=1 Ack=1401 Win=76 Len=0","54"
"6","0.004513","104.18.32.47","192.168.6.68","TCP","443  >  52320 [ACK] Seq=1 Ack=2959 Win=77 Len=0","54"
"7","0.004513","104.18.32.47","192.168.6.68","TCP","443  >  52320 [ACK] Seq=1 Ack=4359 Win=77 Len=0","54"
"8","0.004513","104.18.32.47","192.168.6.68","TCP","443  >  52320 [ACK] Seq=1 Ack=5759 Win=77 Len=0","54"
"9","0.006839","104.18.32.47","192.168.6.68","TCP","443  >  52320 [ACK] Seq=1 Ack=7159 Win=78 Len=0","54"
"10","0.006839","104.18.32.47","192.168.6.68","TCP","443  >  52320 [ACK] Seq=1 Ack=8559 Win=78 Len=0","54"
"11","0.006839","104.18.32.47","192.168.6.68","TCP","443  >  52320 [ACK] Seq=1 Ack=8653 Win=78 Len=0","54"
"12","0.006839","104.18.32.47","192.168.6.68","TCP","443  >  52320 [ACK] Seq=1 Ack=10053 Win=78 Len=0","54"
"13","0.008426","172.217.15.206","192.168.6.68","UDP","443  >  60734 Len=26","68"
"14","0.008426","104.18.32.47","192.168.6.68","TCP","443  >  52320 [ACK] Seq=1 Ack=10080 Win=78 Len=0","54"
"15","0.016597","192.168.6.68","172.64.41.5","UDP","49748  >  443 Len=43","85"
"16","0.017499","192.168.6.68","3.233.158.25","TCP","52967  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM","66"
"17","0.100699","104.18.32.47","192.168.6.68","TLSv1.2","Application Data","348"
"18","0.100699","104.18.32.47","192.168.6.68","TLSv1.2","Application Data","101"
"19","0.100699","104.18.32.47","192.168.6.68","TLSv1.2","Application Data","85"
"20","0.106537","104.18.32.47","192.168.6.68","TLSv1.2","Application Data","321"
"21","0.106537","104.18.32.47","192.168.6.68","TLSv1.2","Application Data, Application Data","132"
"22","0.106856","192.168.6.68","104.18.32.47","TCP","52320  >  443 [ACK] Seq=10080 Ack=718 Win=255 Len=0","54"
"23","0.107531","3.233.158.25","192.168.6.68","TCP","443  >  52967 [SYN, ACK] Seq=0 Ack=1 Win=31970 Len=0 MSS=1390 SACK_PERM WS=512","66"
"24","0.107719","192.168.6.68","3.233.158.25","TCP","52967  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0","54"
"25","0.110716","192.168.6.68","3.233.158.25","TCP","52967  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=1390 [TCP PDU reassembled in 26]","1444"
"26","0.110716","192.168.6.68","3.233.158.25","TLSv1.3","Client Hello (SNI=browser-intake-datadoghq.com)","705"
"27","0.299632","192.168.6.68","3.233.158.25","TCP","[TCP Retransmission] 52967  >  443 [PSH, ACK] Seq=652 Ack=1 Win=65280 Len=1390 [TCP PDU reassembled in 26]","1444"
"28","0.305919","3.233.158.25","192.168.6.68","TCP","443  >  52967 [ACK] Seq=1 Ack=2042 Win=35840 Len=0","54"
"29","0.305919","3.233.158.25","192.168.6.68","TLSv1.3","Server Hello, Change Cipher Spec","1444"
"30","0.305919","3.233.158.25","192.168.6.68","TCP","443  >  52967 [PSH, ACK] Seq=1391 Ack=2042 Win=35840 Len=1390 [TCP PDU reassembled in 31]","1444"
"31","0.305919","3.233.158.25","192.168.6.68","TLSv1.3","Application Data","802"
"32","0.309047","192.168.6.68","3.233.158.25","TLSv1.3","Change Cipher Spec, Application Data","118"
"33","0.311311","192.168.6.68","3.233.158.25","TLSv1.3","Application Data, Application Data","1444"
"34","0.311311","192.168.6.68","3.233.158.25","TLSv1.3","Application Data","574"
"35","0.542047","3.233.158.25","192.168.6.68","TCP","[TCP Dup ACK 28#1] 443  >  52967 [ACK] Seq=3529 Ack=2042 Win=35840 Len=0 SLE=652 SRE=2042","66"
"36","0.542047","3.233.158.25","192.168.6.68","TCP","443  >  52967 [ACK] Seq=3529 Ack=2106 Win=35840 Len=0","54"
"37","0.542047","3.233.158.25","192.168.6.68","TCP","443  >  52967 [ACK] Seq=3529 Ack=3496 Win=38400 Len=0","54"
"38","0.542047","3.233.158.25","192.168.6.68","TLSv1.3","Application Data, Application Data","581"
"39","0.542047","3.233.158.25","192.168.6.68","TCP","443  >  52967 [ACK] Seq=4056 Ack=4016 Win=40448 Len=0","54"
"40","0.542047","3.233.158.25","192.168.6.68","TLSv1.3","Application Data","364"
"41","0.545003","192.168.6.68","3.233.158.25","TLSv1.3","Application Data","85"
"42","0.640143","3.233.158.25","192.168.6.68","TCP","443  >  52967 [ACK] Seq=4366 Ack=4047 Win=40448 Len=0","54"
"43","3.898331","192.168.6.68","52.111.227.9","TLSv1.2","Application Data","90"
"44","3.952276","3e:b8:bf:50:dc:ac","Intel_2d:cd:b9","ARP","Who has 192.168.6.68? Tell 192.168.6.72","42"
"45","3.952359","Intel_2d:cd:b9","3e:b8:bf:50:dc:ac","ARP","192.168.6.68 is at b0:7d:64:2d:cd:b9","42"
"46","4.120148","52.111.227.9","192.168.6.68","TLSv1.2","Application Data","86"
"47","4.169288","192.168.6.68","52.111.227.9","TCP","50980  >  443 [ACK] Seq=37 Ack=33 Win=251 Len=0","54"
"48","5.952979","192.168.6.68","173.194.216.188","TCP","52057  >  5228 [ACK] Seq=1 Ack=1 Win=253 Len=1","55"
"49","6.130720","192.168.6.68","104.26.1.147","TCP","52796  >  443 [ACK] Seq=1 Ack=1 Win=251 Len=1","55"
"50","6.134641","173.194.216.188","192.168.6.68","TCP","5228  >  52057 [ACK] Seq=1 Ack=2 Win=1046 Len=0 SLE=1 SRE=2","66"
"51","6.222180","104.26.1.147","192.168.6.68","TCP","443  >  52796 [ACK] Seq=1 Ack=2 Win=16 Len=0 SLE=1 SRE=2","66"
"52","6.781004","192.168.6.68","185.199.108.133","TCP","52795  >  443 [ACK] Seq=1 Ack=1 Win=253 Len=1","55"
"53","6.987759","185.199.108.133","192.168.6.68","TCP","443  >  52795 [ACK] Seq=1 Ack=2 Win=284 Len=0 SLE=1 SRE=2","66"
"54","6.987759","52.96.90.34","192.168.6.68","TLSv1.2","Application Data","93"
"55","6.987759","52.96.90.34","192.168.6.68","TLSv1.2","Application Data","1139"
"56","6.987759","52.96.90.34","192.168.6.68","TLSv1.2","Application Data","93"
"57","7.036810","192.168.6.68","52.96.90.34","TCP","49832  >  443 [ACK] Seq=1 Ack=1164 Win=251 Len=0","54"
"58","7.106331","52.96.165.242","192.168.6.68","TLSv1.2","Application Data","101"
"59","7.149692","192.168.6.68","52.96.165.242","TCP","52279  >  443 [ACK] Seq=1 Ack=48 Win=251 Len=0","54"
"60","11.446977","52.96.165.242","192.168.6.68","TLSv1.2","Application Data","101"
"61","11.491464","192.168.6.68","52.96.165.242","TCP","52279  >  443 [ACK] Seq=1 Ack=95 Win=251 Len=0","54"
"62","13.876446","192.168.6.68","216.239.34.180","UDP","58130  >  443 Len=336","378"
"63","13.884072","192.168.6.68","104.18.32.47","TLSv1.2","Application Data, Application Data, Application Data","992"
"64","13.957671","104.18.32.47","192.168.6.68","TCP","443  >  52664 [ACK] Seq=1 Ack=939 Win=16 Len=0","54"
"65","13.957671","104.18.32.47","192.168.6.68","TLSv1.2","Application Data","93"
"66","13.983640","216.239.34.180","192.168.6.68","UDP","443  >  58130 Len=28","70"
"67","13.986010","104.18.32.47","192.168.6.68","TLSv1.2","Application Data","966"
"68","13.986010","104.18.32.47","192.168.6.68","TLSv1.2","Application Data, Application Data","132"
